workflow,image,quality,original_size_mb,compressed_size_mb,compression_ratio
EXCEL,EXCEL1,25,0.1860189437866211,0.20377349853515625,-9.544487452257066
EXCEL,EXCEL1,5,0.1860189437866211,0.09189891815185547,50.59701109943349
EXCEL,EXCEL1,1,0.1860189437866211,0.0797882080078125,57.1074825049345
EXCEL,EXCEL2,25,0.19867992401123047,0.2508068084716797,-26.23661385007512
EXCEL,EXCEL2,5,0.19867992401123047,0.113800048828125,42.721918485487045
EXCEL,EXCEL2,1,0.19867992401123047,0.10029315948486328,49.520234626627825
EXCEL,EXCEL3,25,0.20148372650146484,0.2513847351074219,-24.76676874724879
EXCEL,EXCEL3,5,0.20148372650146484,0.11380290985107422,43.51756748441575
EXCEL,EXCEL3,1,0.20148372650146484,0.10027217864990234,50.23311292131907
EXCEL,EXCEL4,25,0.2415914535522461,0.2030487060546875,15.953688315892112
EXCEL,EXCEL4,5,0.2415914535522461,0.09180545806884766,61.99970788743403
EXCEL,EXCEL4,1,0.2415914535522461,0.07980155944824219,66.96838473593418
GIT,GIT1,25,14.307668685913086,0.07552146911621094,99.47216090354001
GIT,GIT1,5,14.307668685913086,0.06266975402832031,99.56198486696842
GIT,GIT1,1,14.307668685913086,0.06044578552246094,99.57752875853231
GIT,GIT2,25,14.307668685913086,0.10698699951171875,99.25224016672225
GIT,GIT2,5,14.307668685913086,0.07397747039794922,99.48295231024754
GIT,GIT2,1,14.307668685913086,0.06783294677734375,99.52589797634795
GIT,GIT3,25,14.307668685913086,0.1254558563232422,99.1231565457847
GIT,GIT3,5,14.307668685913086,0.0805807113647461,99.43680054987516
GIT,GIT3,1,14.307668685913086,0.07209014892578125,99.49614328855155
GIT,GIT4,25,14.307668685913086,0.14039897918701172,99.01871519204771
GIT,GIT4,5,14.307668685913086,0.08580684661865234,99.40027373779535
GIT,GIT4,1,14.307668685913086,0.07551383972167969,99.47221422735328
JIRA,JIRA1,25,0.1526165008544922,0.09428882598876953,38.2184590389302
JIRA,JIRA1,5,0.1526165008544922,0.06826114654541016,55.272761357245514
JIRA,JIRA1,1,0.1526165008544922,0.06441974639892578,57.78978941448478
JIRA,JIRA2,25,0.1619281768798828,0.09700965881347656,40.090933719683854
JIRA,JIRA2,5,0.1619281768798828,0.06922149658203125,57.25172856520254
JIRA,JIRA2,1,0.1619281768798828,0.06495952606201172,59.883741474963784
JIRA,JIRA3,25,0.16852283477783203,0.09919166564941406,41.140519158616705
JIRA,JIRA3,5,0.16852283477783203,0.0700063705444336,58.458822131300614
JIRA,JIRA3,1,0.16852283477783203,0.06557273864746094,61.08970114708363
JIRA,JIRA4,25,0.18083763122558594,0.10185432434082031,43.67636666631509
JIRA,JIRA4,5,0.18083763122558594,0.07077789306640625,60.86108152007679
JIRA,JIRA4,1,0.18083763122558594,0.06599807739257812,63.50423474069464
TEKKEN,TEKKEN1,25,5.043515205383301,0.19938373565673828,96.04673075152184
TEKKEN,TEKKEN1,5,5.043515205383301,0.08652114868164062,98.28450703213325
TEKKEN,TEKKEN1,1,5.043515205383301,0.07018852233886719,98.60834121677775
TEKKEN,TEKKEN2,25,4.643321990966797,0.18491649627685547,96.01758188132128
TEKKEN,TEKKEN2,5,4.643321990966797,0.08442020416259766,98.18190070973259
TEKKEN,TEKKEN2,1,4.643321990966797,0.06954097747802734,98.50234427822767
TEKKEN,TEKKEN3,25,5.25432014465332,0.19370460510253906,96.31342210276912
TEKKEN,TEKKEN3,5,5.25432014465332,0.08845233917236328,98.3165788011153
TEKKEN,TEKKEN3,1,5.25432014465332,0.07134628295898438,98.64214054349952
TEKKEN,TEKKEN4,25,4.714419364929199,0.1870718002319336,96.03192279364093
TEKKEN,TEKKEN4,5,4.714419364929199,0.0852508544921875,98.19169980663212
TEKKEN,TEKKEN4,1,4.714419364929199,0.07006549835205078,98.51380429001986
