workflow,image_num,quality,model,file_size_kb,response_time_s,word_count,char_count,phrase_accuracy,extracted_text,error
EXCEL,1,PNG,claude-opus-4.5,190.48,18.84,298,1281,100.0,"AutoSave Off

Etsy_Statements_2024.xlsx

Non-Public • Last Modified: March 21

Search

Comments Share

File Home Insert Draw Page Layout Formulas Data Review View Automate Help ChemOffice21 Analytic Solver

Cut
Copy
Format Painter
Clipboard

Calibri 11

B I U

Font

Wrap Text
Merge & Center

Alignment

Accounting

$ % 

Number

Conditional Format as
Formatting Table

60% - Accent6 Accent1 Accent2 Accent3 Accent4
Accent5 Accent6 Comma Comma [0] Currency

Styles

AutoSum
Fill
Clear

Insert Delete Format

Cells

Sort & Find &
Filter Select

Editing

Sensitivity

Add-ins Copilot Show Risk
Add-ins ToolPak Solver Solver

Commands Group

F23 fx

A B C D E F G H I J K L M N O P Q R S T U V W

1 Month Sales Fees Shipping Marketing Net Profit
2 January $ 129.05 $ (16.73) $ (31.99) $ 80.33
3 February $ 111.20 $ (13.03) $ (19.54) $ 78.63
4 March $ 98.85 $ (12.46) $ (11.76) $ (19.30) $ 55.33
5 April $ 165.76 $ (19.90) $ (41.52) $ (41.11) $ 63.23
6 May $ 238.42 $ (28.32) $ (36.37) $ (37.42) $ 136.31
7 June $ 186.42 $ (22.62) $ (62.19) $ (20.89) $ 80.72
8 July $ 167.22 $ (21.37) $ (40.16) $ (3.34) $ 102.35
9 August $ 160.46 $ (19.84) $ (32.38) $ (13.36) $ 94.88
10 September $ 88.58 $ (10.43) $ (16.20) $ (3.28) $ 58.67
11 October $ 376.38 $ (42.49) $ (77.99) $ (6.68) $ 249.22
12 November $ 262.94 $ (31.40) $ (59.67) $ (3.79) $ 168.08
13 December $ 590.81 $ (68.12) $ (96.70) $ (11.37) $ 414.62
14 Summary $ 1,582.37
15 Expenses $ 736.27
16 Profit $ 846.10

Summary Business Expenses January February March April May June July August September October November December +

Ready Accessibility: Good to go",
EXCEL,1,PNG,gemini-3-pro,190.48,47.41,558,1779,100.0,"AutoSave Off | Save | Undo | Redo | Etsy_Statements_2024.xlsx | Non-Public • Last Modified: March 21 | Search | MF | Comments Share
File Home Insert Draw Page Layout Formulas Data Review View Automate Help ChemOffice21 Analytic Solver

[Ribbon Area]
Paste | Cut | Copy | Format Painter | Clipboard
Calibri | 11 | A^ A`v` | B I U | 田 | Fill Color | A (Font Color) | Font
Top Align | Middle Align | Bottom Align | Orientation | Wrap Text
Align Left | Center | Align Right | Indent Left | Indent Right | Merge & Center | Alignment
Accounting | $ % , .00->.0 .0->.00 | Number
Conditional Formatting | Format as Table | Cell Styles
Styles Box:
60% - Accent6 | Accent1 | Accent2 | Accent3 | Accent4
Accent5 | Accent6 | Comma | Comma [0] | Currency
Styles
Insert | Delete | Format | Cells
Sum | Fill | Clear | Sort & Filter | Find & Select | Editing
Sensitivity | Add-ins | Copilot | Show ToolPak | Risk Solver

[Formula Bar]
F23 | X | check | fx

[Spreadsheet Grid]
    | A | B | C | D | E | F | G | H | I | J | K | L | M | N | O | P | Q | R | S | T | U | V | W
1 | Month | Sales | Fees | Shipping | Marketing | Net Profit
2 | January | $ 129.05 | $ (16.73) | $ (31.99) | | $ 80.33
3 | February | $ 111.20 | $ (13.03) | $ (19.54) | | $ 78.63
4 | March | $ 98.85 | $ (12.46) | $ (11.76) | $ (19.30) | $ 55.33
5 | April | $ 165.76 | $ (19.90) | $ (41.52) | $ (41.11) | $ 63.23
6 | May | $ 238.42 | $ (28.32) | $ (36.37) | $ (37.42) | $ 136.31
7 | June | $ 186.42 | $ (22.62) | $ (62.19) | $ (20.89) | $ 80.72
8 | July | $ 167.22 | $ (21.37) | $ (40.16) | $ (3.34) | $ 102.35
9 | August | $ 160.46 | $ (19.84) | $ (32.38) | $ (13.36) | $ 94.88
10| September| $ 88.58 | $ (10.43) | $ (16.20) | $ (3.28) | $ 58.67
11| October | $ 376.38 | $ (42.49) | $ (77.99) | $ (6.68) | $ 249.22
12| November | $ 262.94 | $ (31.40) | $ (59.67) | $ (3.79) | $ 168.08
13| December | $ 590.81 | $ (68.12) | $ (96.70) | $ (11.37) | $ 414.62
14| Summary | | | | | $ 1,582.37
15| Expenses | | | | | $ 736.27
16| Profit | | | | | $ 846.10
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35

[Bottom Sheet Selectors]
< > | Summary | Business Expenses | January | February | March | April | May | June | July | August | September | October | November | December | +

[Status Bar]
Ready | Accessibility: Good to go | Normal/Page Layout/Page Break Preview Icons | - + | 160%",
EXCEL,1,PNG,gpt-5.1,190.48,88.69,0,0,0.0,,
EXCEL,1,25,claude-opus-4.5,208.66,19.49,425,1470,100.0,"AutoSave Off Etsy_Statements_2024.xlsx Non-Public • Last Modified: March 21

File Home Insert Draw Page Layout Formulas Data Review View Automate Help ChemOffice21 Analytic Solver

Search

Comments Share

Cut
Copy
Paste
Format Painter
Clipboard

Calibri 11

B I U

Font

Wrap Text
Merge & Center

Alignment

Accounting

Number

60% - Accent6 Accent1 Accent2 Accent3 Accent4
Accent5 Accent6 Comma Comma [0] Currency

Conditional Format as
Formatting Table

Styles

Insert Delete Format

Cells

AutoSum
Fill
Clear

Sort & Find &
Filter Select

Editing

Sensitivity

Add-ins

Copilot Show Risk
ToolPak Solver

Commands Group Risk Solver

A B C D E F G H I J K L M N O P Q R S T U V W

F23 fx

| | Month | Sales | Fees | Shipping | Marketing | Net Profit |
|---|---|---|---|---|---|---|
1 | Month | Sales | Fees | Shipping | Marketing | Net Profit |
2 | January | $ 129.05 | $ (16.73) | $ (31.99) | | $ 80.33 |
3 | February | $ 111.20 | $ (13.03) | $ (19.54) | | $ 78.63 |
4 | March | $ 98.85 | $ (12.46) | $ (11.76) | $ (19.30) | $ 55.33 |
5 | April | $ 165.76 | $ (19.90) | $ (41.52) | $ (41.11) | $ 63.23 |
6 | May | $ 238.42 | $ (28.32) | $ (36.37) | $ (37.42) | $ 136.31 |
7 | June | $ 186.42 | $ (22.62) | $ (62.19) | $ (20.89) | $ 80.72 |
8 | July | $ 167.22 | $ (21.37) | $ (40.16) | $ (3.34) | $ 102.35 |
9 | August | $ 160.46 | $ (19.84) | $ (32.38) | $ (13.36) | $ 94.88 |
10 | September | $ 88.58 | $ (10.43) | $ (16.20) | $ (3.28) | $ 58.67 |
11 | October | $ 376.38 | $ (42.49) | $ (77.99) | $ (6.68) | $ 249.22 |
12 | November | $ 262.94 | $ (31.40) | $ (59.67) | $ (3.79) | $ 168.08 |
13 | December | $ 590.81 | $ (68.12) | $ (96.70) | $ (11.37) | $ 414.62 |
14 | Summary | | | | | $ 1,582.37 |
15 | Expenses | | | | | $ 736.27 |
16 | Profit | | | | | $ 846.10 |

Summary Business Expenses January February March April May June July August September October November December +

Ready Accessibility: Good to go",
EXCEL,1,25,gemini-3-pro,208.66,37.67,319,1406,100.0,"AutoSave Off Etsy_Statements_2024.xlsx Non-Public • Last Modified: March 21 Search MF Comments Share
File Home Insert Draw Page Layout Formulas Data Review View Automate Help ChemOffice21 Analytic Solver

[Ribbon Menu]
Paste Cut Copy Format Painter (Clipboard)
Calibri 11 A A B I U (Font)
Wrap Text Merge & Center (Alignment)
Accounting % , (Number)
Conditional Formatting Format as Table Cell Styles (Styles)
60% - Accent6 Accent1 Accent2 Accent3 Accent4 Accents Accent6 Comma Comma [0] Currency
Insert Delete Format (Cells)
AutoSum Fill Clear Sort & Filter Find & Select (Editing)
Sensitivity (Sensitivity)
Add-ins (Add-ins) Copilot
Show ToolPak Risk Solver (Commands Group Risk Solver)

F23 fx

[Spreadsheet Grid]
    A          B                        C                        D                        E                        F                    G ... W
1   Month      Sales                    Fees                     Shipping                 Marketing                Net Profit
2   January    $ 129.05                 $ (16.73)                $ (31.99)                                         $      80.33
3   February   $ 111.20                 $ (13.03)                $ (19.54)                                         $      78.63
4   March      $  98.85                 $ (12.46)                $ (11.76)                $ (19.30)                $      55.33
5   April      $ 165.76                 $ (19.90)                $ (41.52)                $ (41.11)                $      63.23
6   May        $ 238.42                 $ (28.32)                $ (36.37)                $ (37.42)                $     136.31
7   June       $ 186.42                 $ (22.62)                $ (62.19)                $ (20.89)                $      80.72
8   July       $ 167.22                 $ (21.37)                $ (40.16)                $  (3.34)                $     102.35
9   August     $ 160.46                 $ (19.84)                $ (32.38)                $ (13.36)                $      94.88
10  September  $  88.58                 $ (10.43)                $ (16.20)                $  (3.28)                $      58.67
11  October    $ 376.38                 $ (42.49)                $ (77.99)                $  (6.68)                $     249.22
12  November   $ 262.94                 $ (31.40)                $ (59.67)                $  (3.79)                $     168.08
13  December   $ 590.81                 $ (68.12)                $ (96.70)                $ (11.37)                $     414.62
14  Summary                                                                                                        $   1,582.37
15  Expenses                                                                                                       $     736.27
16  Profit                                                                                                         $     846.10
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35

[Bottom Bar]
Ready Accessibility: Good to go
Summary Business Expenses January February March April May June July August September October November December +
+ 160%",
EXCEL,1,25,claude-opus-4.5,208.66,17.68,296,1282,100.0,"AutoSave Off Etsy_Statements_2024.xlsx Non-Public • Last Modified: March 21

File Home Insert Draw Page Layout Formulas Data Review View Automate Help ChemOffice21 Analytic Solver

Cut Copy Format Painter Clipboard

Calibri 11 B I U Font

Wrap Text Merge & Center Alignment

Accounting Number

60% - Accent6 Accent1 Accent2 Accent3 Accent4
Accent5 Accent6 Comma Comma [0] Currency
Conditional Format as
Formatting Table Styles

AutoSum Fill Clear
Insert Delete Format
Sort & Find & Sensitivity
Filter Select
Editing Sensitivity Add-ins
Copilot Show ToolPak Risk Solver
Commands Group Risk Solver

Comments Share

Search

F23 fx

A B C D E F G H I J K L M N O P Q R S T U V W

1 Month Sales Fees Shipping Marketing Net Profit
2 January $ 129.05 $ (16.73) $ (31.99) $ 80.33
3 February $ 111.20 $ (13.03) $ (19.54) $ 78.63
4 March $ 98.85 $ (12.46) $ (11.76) $ (19.30) $ 55.33
5 April $ 165.76 $ (19.90) $ (41.52) $ (41.11) $ 63.23
6 May $ 238.42 $ (28.32) $ (36.37) $ (37.42) $ 136.31
7 June $ 186.42 $ (22.62) $ (62.19) $ (20.89) $ 80.72
8 July $ 167.22 $ (21.37) $ (40.16) $ (3.34) $ 102.35
9 August $ 160.46 $ (19.84) $ (32.38) $ (13.36) $ 94.88
10 September $ 88.58 $ (10.43) $ (16.20) $ (3.28) $ 58.67
11 October $ 376.38 $ (42.49) $ (77.99) $ (6.68) $ 249.22
12 November $ 262.94 $ (31.40) $ (59.67) $ (3.79) $ 168.08
13 December $ 590.81 $ (68.12) $ (96.70) $ (11.37) $ 414.62
14 Summary $ 1,582.37
15 Expenses $ 736.27
16 Profit $ 846.10

Summary Business Expenses January February March April May June July August September October November December +

Ready Accessibility: Good to go",
EXCEL,1,25,gemini-3-pro,208.66,19.88,0,0,0.0,,
EXCEL,1,25,gpt-5.1,208.66,34.63,0,0,0.0,,
EXCEL,1,5,claude-opus-4.5,94.1,19.18,303,1288,100.0,"AutoSave Off Etsy_Statements_2024.xls Non-Public - Last Modified: March 21

File Home Insert Page Layout Formulas Data Review View Automate ChemOffice21 Analytic Solver

Comments Share

Cut Copy Format Painter
Clipboard

Calibri 11 A A
B I U - A - 

Wrap Text
Merge & Center

Font Alignment

Accounting
$ % , .0 .00
Number

Conditional Format as
Formatting Table

60% - Accent6 Accent1 Accent2 Accent4
Accent6 Accent2
Comma Comma [0] Currency

Styles

AutoSum
Fill
Clear

Insert Delete Format

Sort & Find &
Filter Select

Sensitivity Add-ins Copilot Show Analyze Risk
ToolPak Add-ins Data Solver

Cells Editing Sensitivity Add-ins Comments Group

A B C D E F G H I J K L M N O P Q R S T U V W

1 Month Sales Fees Shipping Marketing Net Profit
2 January $ 129.05 $ (16.73) $ (31.99) $ 80.33
3 February $ 111.20 $ (13.03) $ (19.54) $ 78.63
4 March $ 98.85 $ (12.46) $ (11.76) $ (19.30) $ 55.33
5 April $ 165.76 $ (19.90) $ (41.52) $ (41.11) $ 63.23
6 May $ 238.42 $ (28.32) $ (36.37) $ (37.42) $ 136.31
7 June $ 186.42 $ (22.62) $ (62.19) $ (20.89) $ 80.72
8 July $ 167.22 $ (21.37) $ (40.16) $ (3.34) $ 102.35
9 August $ 160.46 $ (19.84) $ (32.38) $ (13.36) $ 94.88
10 September $ 88.58 $ (10.43) $ (16.20) $ (3.28) $ 58.67
11 October $ 376.38 $ (42.49) $ (77.99) $ (6.68) $ 249.22
12 November $ 262.94 $ (31.40) $ (59.67) $ (3.79) $ 168.08
13 December $ 590.81 $ (68.12) $ (96.70) $ (11.37) $ 414.62
14 Summary $ 1,582.37
15 Expenses $ 736.27
16 Profit $ 846.10

Summary Business Expenses January February March April May June July August September October November December +

Ready Accessibility: Good to go",
EXCEL,1,5,gemini-3-pro,94.1,20.02,0,0,0.0,,
